date,close,high,low,open,volume,daily_return,rsi,macd,macd_signal,macd_diff,stochastic_k,stochastic_d,bollinger_hband,bollinger_lband,bollinger_mavg,bollinger_width,atr,ema_20,ema_50,ema_200,ema_9,ichimoku_a,ichimoku_b,ichimoku_base,ichimoku_conversion,adx,volume_sma_20,volume_ratio,awesome_osc
2011-06-23,91.127,91.158,89.689,90.338,260750,-0.003,44.614,-0.773,-0.887,0.114,62.378,61.516,94.771,88.648,91.71,6.677,1.124,91.672,92.586,89.286,91.098,91.583,93.16,92.395,90.771,21.808,116412.5,2.24,-2.011
2011-06-24,90.125,91.181,89.969,91.15,114500,-0.011,39.853,-0.802,-0.87,0.067,27.538,49.51,94.461,88.571,91.516,6.436,1.13,91.525,92.489,89.295,90.904,91.583,93.16,92.395,90.771,21.984,119115.0,0.961,-1.842
2011-06-27,90.886,91.228,89.985,90.187,77850,0.008,44.681,-0.756,-0.847,0.091,53.999,47.972,93.973,88.705,91.339,5.768,1.138,91.464,92.426,89.31,90.9,91.564,93.16,92.356,90.771,22.095,120627.5,0.645,-1.67
2011-06-28,92.051,92.082,91.181,91.274,59500,0.013,51.147,-0.618,-0.801,0.184,94.506,58.681,93.095,89.252,91.173,4.215,1.142,91.52,92.412,89.338,91.13,91.564,93.16,92.356,90.771,21.288,114977.5,0.517,-1.544
2011-06-29,92.875,92.999,92.191,92.533,125350,0.009,55.141,-0.436,-0.728,0.292,96.618,81.707,93.002,89.308,91.155,4.052,1.128,91.649,92.43,89.373,91.479,91.85,93.16,92.356,91.344,19.841,110145.0,1.138,-1.305
2011-06-30,93.761,93.885,93.092,93.186,124850,0.01,59.02,-0.219,-0.626,0.407,97.276,96.133,93.181,89.191,91.186,4.375,1.12,91.85,92.482,89.417,91.936,92.072,93.16,92.356,91.787,19.203,105797.5,1.18,-0.647
2011-07-01,95.175,95.252,93.652,93.807,139550,0.015,64.323,0.067,-0.488,0.554,98.699,97.531,93.951,88.715,91.333,5.733,1.154,92.167,92.588,89.474,92.583,92.413,93.16,92.356,92.47,19.517,105352.5,1.325,0.146
2011-07-05,95.019,95.252,94.786,95.097,91850,-0.002,63.349,0.277,-0.335,0.612,96.064,97.346,94.591,88.45,91.52,6.71,1.105,92.438,92.683,89.529,93.071,92.413,93.16,92.356,92.47,19.809,104282.5,0.881,1.016
2011-07-06,95.159,95.283,94.6,94.848,94850,0.001,63.877,0.45,-0.178,0.628,97.916,97.56,95.169,88.274,91.721,7.518,1.075,92.697,92.78,89.585,93.488,92.421,93.16,92.356,92.486,19.886,98840.0,0.96,1.646
2011-07-07,96.2,96.418,95.858,96.014,195400,0.011,67.617,0.664,-0.009,0.673,96.76,96.913,95.92,88.066,91.993,8.538,1.088,93.031,92.914,89.651,94.031,93.035,93.16,92.876,93.194,20.67,104230.0,1.875,2.309
2011-07-08,95.548,95.548,94.802,95.097,105600,-0.007,63.204,0.772,0.147,0.625,87.071,93.916,96.407,87.986,92.197,9.134,1.11,93.271,93.017,89.71,94.334,93.038,93.16,92.876,93.202,20.349,107342.5,0.984,2.645
2011-07-11,93.776,94.662,93.574,94.351,92750,-0.019,53.065,0.706,0.259,0.447,60.737,81.523,96.534,88.218,92.376,9.002,1.172,93.319,93.047,89.75,94.222,93.338,93.16,92.876,93.8,19.029,106642.5,0.87,2.596
2011-07-12,93.357,94.336,93.357,93.59,132400,-0.004,50.983,0.613,0.329,0.283,54.51,67.439,96.591,88.473,92.532,8.773,1.158,93.322,93.059,89.786,94.049,93.59,93.16,92.876,94.304,17.703,109367.5,1.211,2.348
2011-07-13,93.683,94.646,93.481,93.869,129700,0.003,52.543,0.559,0.375,0.184,59.355,58.201,96.7,88.592,92.646,8.751,1.167,93.357,93.084,89.825,93.976,93.815,93.16,92.876,94.755,16.649,112082.5,1.157,2.156
2011-07-14,93.077,94.304,92.859,93.947,55900,-0.006,49.395,0.462,0.393,0.069,48.194,54.02,96.651,88.967,92.809,8.279,1.187,93.33,93.083,89.857,93.796,93.757,93.16,92.876,94.638,15.753,110892.5,0.504,1.64
2011-07-15,93.59,93.683,92.953,93.59,40350,0.006,52.016,0.422,0.398,0.023,56.039,54.529,96.616,89.363,92.99,7.8,1.155,93.355,93.103,89.894,93.755,93.757,92.876,92.876,94.638,14.921,109607.5,0.368,1.279
2011-07-18,92.797,93.248,92.113,93.186,94000,-0.008,47.888,0.322,0.383,-0.061,30.857,45.03,96.519,89.716,93.118,7.306,1.178,93.302,93.091,89.923,93.563,93.571,92.876,92.876,94.266,14.813,111367.5,0.844,1.043
2011-07-19,94.304,94.382,93.294,93.341,233300,0.016,55.17,0.361,0.379,-0.018,50.894,45.93,96.551,90.041,93.296,6.977,1.207,93.397,93.139,89.967,93.712,93.571,92.876,92.876,94.266,13.798,120347.5,1.939,1.076
2011-07-20,94.304,94.615,94.134,94.6,90750,0.0,55.17,0.387,0.38,0.006,50.894,44.215,96.637,90.188,93.412,6.903,1.155,93.484,93.185,90.01,93.83,93.353,92.876,92.876,93.83,13.045,118262.5,0.767,1.132
2011-07-21,95.563,95.75,94.615,94.786,234250,0.013,60.516,0.503,0.405,0.098,80.139,60.643,96.839,90.399,93.619,6.879,1.176,93.682,93.278,90.065,94.177,93.404,92.876,92.876,93.932,13.191,124672.5,1.879,1.39
2011-07-22,95.641,95.718,95.097,95.563,90250,0.001,60.828,0.595,0.443,0.152,81.951,70.995,96.965,90.724,93.845,6.651,1.136,93.868,93.371,90.121,94.469,93.404,92.876,92.876,93.932,13.328,116147.5,0.777,1.722
2011-07-25,95.097,95.563,94.631,94.693,183650,-0.006,57.423,0.617,0.478,0.139,69.315,77.135,96.746,91.44,94.093,5.64,1.127,93.985,93.438,90.17,94.595,93.492,92.876,93.054,93.932,13.001,119605.0,1.535,2.104
2011-07-26,94.693,95.175,94.538,95.035,138850,-0.004,54.963,0.594,0.501,0.093,59.93,70.399,96.499,92.068,94.283,4.7,1.092,94.053,93.487,90.215,94.615,93.492,92.876,93.054,93.932,12.607,122655.0,1.132,2.21
