date,close,high,low,open,volume,daily_return,rsi,macd,macd_signal,macd_diff,stochastic_k,stochastic_d,bollinger_hband,bollinger_lband,bollinger_mavg,bollinger_width,atr,ema_20,ema_50,ema_200,ema_9,ichimoku_a,ichimoku_b,ichimoku_base,ichimoku_conversion,adx,volume_sma_20,volume_ratio,awesome_osc,ema_price_diff,signal_ema_price,signal_macd_buy,signal_stochastic_buy,signal_ichimoku_buy,signal_ichimoku_aggressive,signal_ichimoku_kijun_cross,signal_ichimoku_chikou,signal_bollinger_buy,signal_macd_&_stochastic,signal_ema_price_&_macd,signal_ichimoku_kijun_cross_&_stochastic,signal_ema_price_&_stochastic,retorno_futuro,target,body_size,upper_wick,lower_wick,rsi_roc_5,month_sin,month_cos,price_vs_kijun,tenkan_vs_kijun
2011-06-30,93.761,93.885,93.092,93.186,124850,0.01,59.02,-0.219,-0.626,0.40700000000000003,97.276,96.133,93.181,89.191,91.186,4.376,1.12,91.85,92.482,89.417,91.936,92.072,93.16,92.356,91.787,19.201,105797.5,1.18,-0.647,1.9110000000000014,False,False,False,False,False,False,False,False,False,False,False,False,-0.012926483292626911,0,0.5749999999999886,0.12400000000000944,0.0940000000000083,32.28734730471814,1.2246467991473532e-16,-1.0,1.4050000000000011,-0.5689999999999884
2011-07-01,95.175,95.252,93.652,93.807,139550,0.015,64.322,0.067,-0.488,0.5549999999999999,98.699,97.531,93.951,88.715,91.333,5.733,1.154,92.167,92.588,89.474,92.583,92.413,93.16,92.356,92.47,19.515,105352.5,1.325,0.146,3.0079999999999956,False,False,False,False,False,False,False,False,False,False,False,False,-0.03510375623850792,0,1.367999999999995,0.07699999999999818,0.15500000000000114,61.39408842274303,-0.4999999999999998,-0.8660254037844388,2.8190000000000026,0.11400000000000432
2011-07-05,95.019,95.252,94.786,95.097,91850,-0.002,63.348,0.277,-0.335,0.6120000000000001,96.064,97.346,94.591,88.45,91.52,6.711,1.105,92.438,92.683,89.529,93.071,92.413,93.16,92.356,92.47,19.807,104282.5,0.881,1.016,2.581000000000003,False,False,False,False,False,False,False,False,False,False,False,False,-0.036961028846862254,0,0.07799999999998875,0.15500000000000114,0.2330000000000041,41.77521149456156,-0.4999999999999998,-0.8660254037844388,2.663000000000011,0.11400000000000432
2011-07-06,95.159,95.283,94.6,94.848,94850,0.001,63.877,0.45,-0.178,0.628,97.916,97.56,95.169,88.273,91.721,7.518,1.075,92.697,92.78,89.585,93.488,92.421,93.16,92.356,92.486,19.885,98840.0,0.96,1.646,2.4620000000000033,False,False,False,False,False,False,False,False,False,False,False,False,-0.06237980642923957,0,0.31100000000000705,0.12399999999999523,0.24800000000000466,24.889045300799673,-0.4999999999999998,-0.8660254037844388,2.8030000000000115,0.13000000000000966
2011-07-07,96.2,96.418,95.858,96.014,195400,0.011,67.616,0.664,-0.009,0.673,96.76,96.913,95.92,88.065,91.993,8.538,1.088,93.031,92.914,89.651,94.031,93.035,93.16,92.876,93.194,20.669,104230.0,1.875,2.309,3.168999999999997,False,False,False,False,False,False,False,False,False,False,False,False,-0.06783783783783781,0,0.18600000000000705,0.21800000000000352,0.1559999999999917,22.626042800145086,-0.4999999999999998,-0.8660254037844388,3.323999999999998,0.31799999999999784
2011-07-08,95.548,95.548,94.802,95.097,105600,-0.007,63.203,0.772,0.147,0.625,87.071,93.916,96.408,87.986,92.197,9.134,1.11,93.271,93.017,89.71,94.334,93.038,93.16,92.876,93.202,20.349,107342.5,0.984,2.645,2.277000000000001,False,False,False,False,False,False,False,False,False,False,False,False,-0.10539205425545284,0,0.4510000000000076,0.0,0.2949999999999875,7.087427990511697,-0.4999999999999998,-0.8660254037844388,2.671999999999997,0.3259999999999934
2011-07-11,93.776,94.662,93.574,94.351,92750,-0.019,53.065,0.706,0.259,0.44699999999999995,60.737,81.523,96.534,88.218,92.376,9.002,1.172,93.319,93.047,89.75,94.222,93.338,93.16,92.876,93.8,19.028,106642.5,0.87,2.596,0.45699999999999363,False,False,False,False,False,False,False,False,False,False,False,False,-0.09047090940112601,0,0.5750000000000028,0.31100000000000705,0.20199999999999818,-17.501010540717022,-0.4999999999999998,-0.8660254037844388,0.8999999999999915,0.9239999999999924
2011-07-12,93.357,94.336,93.357,93.59,132400,-0.004,50.983,0.613,0.329,0.284,54.51,67.439,96.591,88.473,92.532,8.773,1.158,93.322,93.059,89.786,94.049,93.59,93.16,92.876,94.304,17.703,109367.5,1.211,2.348,0.03499999999999659,False,False,False,False,False,False,False,False,False,False,False,False,-0.1449810940797155,0,0.2330000000000041,0.7459999999999951,0.0,-19.519163983077604,-0.4999999999999998,-0.8660254037844388,0.48099999999999454,1.4279999999999973
2011-07-13,93.683,94.646,93.481,93.869,129700,0.003,52.543,0.559,0.375,0.18400000000000005,59.355,58.201,96.7,88.592,92.646,8.751,1.167,93.357,93.084,89.825,93.976,93.815,93.16,92.876,94.755,16.649,112082.5,1.157,2.156,0.3260000000000076,False,False,False,False,False,False,False,False,False,False,False,False,-0.10980647502748642,0,0.18599999999999284,0.777000000000001,0.2020000000000124,-17.743475742442516,-0.4999999999999998,-0.8660254037844388,0.8070000000000022,1.8789999999999907
2011-07-14,93.077,94.304,92.859,93.947,55900,-0.006,49.396,0.462,0.393,0.069,48.194,54.02,96.651,88.967,92.809,8.279,1.187,93.33,93.083,89.857,93.796,93.757,93.16,92.876,94.638,15.753,110892.5,0.504,1.64,-0.2530000000000001,False,False,False,False,False,False,False,False,False,False,False,False,-0.142903187683316,0,0.8700000000000045,0.3569999999999993,0.21800000000000352,-26.946284902981542,-0.4999999999999998,-0.8660254037844388,0.2009999999999934,1.7620000000000005
2011-07-15,93.59,93.683,92.953,93.59,40350,0.006,52.016,0.422,0.398,0.023999999999999966,56.039,54.529,96.616,89.363,92.99,7.8,1.155,93.355,93.103,89.894,93.755,93.757,92.876,92.876,94.638,14.921,109607.5,0.368,1.279,0.23499999999999943,False,False,False,False,False,False,False,False,False,False,False,False,-0.11024682124158558,0,0.0,0.09300000000000352,0.6370000000000005,-17.700109172032985,-0.4999999999999998,-0.8660254037844388,0.7139999999999986,1.7620000000000005
2011-07-18,92.797,93.248,92.113,93.186,94000,-0.008,47.888,0.322,0.383,-0.061,30.857,45.03,96.519,89.716,93.118,7.306,1.178,93.302,93.091,89.923,93.563,93.571,92.876,92.876,94.266,14.812,111367.5,0.844,1.043,-0.5050000000000097,False,False,False,False,False,False,False,False,False,False,False,False,-0.09544489584792615,0,0.38900000000001,0.06199999999999761,0.6839999999999975,-9.755959672100257,-0.4999999999999998,-0.8660254037844388,-0.07900000000000773,1.3900000000000006
2011-07-19,94.304,94.382,93.294,93.341,233300,0.016,55.17,0.361,0.379,-0.018000000000000016,50.894,45.93,96.551,90.041,93.296,6.977,1.207,93.397,93.139,89.967,93.712,93.571,92.876,92.876,94.266,13.798,120347.5,1.939,1.076,0.9069999999999965,False,False,False,False,False,True,False,False,False,False,False,False,-0.09160799117746854,0,0.9630000000000081,0.07800000000000296,0.046999999999997044,8.212541435380437,-0.4999999999999998,-0.8660254037844388,1.4279999999999973,1.3900000000000006
2011-07-20,94.304,94.615,94.133,94.6,90750,0.0,55.17,0.387,0.38,0.007000000000000006,50.894,44.215,96.637,90.188,93.412,6.903,1.155,93.484,93.185,90.01,93.83,93.353,92.876,92.876,93.83,13.044,118262.5,0.767,1.132,0.8200000000000074,False,False,False,False,False,False,False,False,False,False,False,False,-0.09934891414998304,0,0.29599999999999227,0.015000000000000568,0.17100000000000648,4.99971451953638,-0.4999999999999998,-0.8660254037844388,1.4279999999999973,0.9539999999999935
2011-07-21,95.563,95.75,94.615,94.786,234250,0.013,60.516,0.503,0.405,0.09799999999999998,80.139,60.643,96.839,90.399,93.619,6.879,1.176,93.682,93.278,90.065,94.177,93.404,92.876,92.876,93.932,13.191,124672.5,1.879,1.39,1.8810000000000002,False,False,False,False,False,False,False,False,False,False,False,False,-0.11024141142492383,0,0.777000000000001,0.1869999999999976,0.17100000000000648,22.511944286986797,-0.4999999999999998,-0.8660254037844388,2.6869999999999976,1.0559999999999974
2011-07-22,95.641,95.718,95.097,95.563,90250,0.001,60.827,0.595,0.443,0.15199999999999997,81.951,70.995,96.965,90.724,93.845,6.651,1.136,93.868,93.371,90.121,94.469,93.404,92.876,92.876,93.932,13.328,116147.5,0.777,1.721,1.7730000000000103,False,False,False,False,False,False,False,False,False,False,False,False,-0.14784454365805455,0,0.07800000000000296,0.07699999999999818,0.4660000000000082,16.939018763457405,-0.4999999999999998,-0.8660254037844388,2.7650000000000006,1.0559999999999974
2011-07-25,95.097,95.563,94.631,94.693,183650,-0.006,57.423,0.617,0.478,0.139,69.315,77.135,96.746,91.44,94.093,5.64,1.127,93.985,93.438,90.17,94.595,93.492,92.876,93.054,93.932,13.001,119605.0,1.535,2.104,1.1119999999999948,False,False,False,False,False,False,False,False,False,False,False,False,-0.15931101927505587,0,0.40399999999999636,0.4660000000000082,0.06199999999999761,19.911042432342143,-0.4999999999999998,-0.8660254037844388,2.042999999999992,0.8780000000000001
2011-07-26,94.693,95.175,94.538,95.035,138850,-0.004,54.963,0.594,0.501,0.09299999999999997,59.93,70.399,96.499,92.068,94.283,4.7,1.092,94.053,93.487,90.215,94.615,93.492,92.876,93.054,93.932,12.607,122655.0,1.132,2.21,0.6400000000000006,False,False,False,False,False,False,False,False,False,False,False,False,-0.15506954051513833,0,0.34199999999999875,0.14000000000000057,0.15500000000000114,-0.37520391517128493,-0.4999999999999998,-0.8660254037844388,1.6389999999999958,0.8780000000000001
2011-07-27,92.813,94.196,92.688,94.165,470300,-0.02,45.248,0.42,0.485,-0.065,19.247,49.497,96.405,92.238,94.322,4.417,1.157,93.935,93.461,90.241,94.254,93.492,92.876,93.054,93.932,12.711,143195.0,3.284,1.951,-1.1219999999999999,False,False,False,False,False,False,False,False,False,False,False,False,-0.10815295271136582,0,1.3520000000000039,0.0309999999999917,0.125,-17.984411818017044,-0.4999999999999998,-0.8660254037844388,-0.24099999999999966,0.8780000000000001
